rec_id,given_name,surname,street_number,address_1,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
rec-2895-dup-0,Alisxa,Seto,467,Bougainville Loop,Kahapu,85248,nq,20021122,25,423 3685533,1998336,7
rec-2930-dup-0,,Matsuura,70,Lippij Lpop,Hawaiian Parabise Park,85260,hi,,35,213 5210388,,3
rec-384-dup-0,Alisha,Lyons,35,Hase Djr,'Mauna Loa Esgates',92708,,19620603,23,480 2119992,,0
rec-1018-dup-0,Alsihw,Koikc,20,Ala Kipa St,Black Sands,85032,or,19501023,,310 8363399,,8
rec-791-dup-0,Alisha,Andresx,42,Hoe Sat,Ahuimau,90280,az,19500925,34,602 4693180,,8
rec-1101-dup-0,Hannah,Vierra,17,Anapalau Pl,'Volcno',96371,wa,19780805,24,480 4584660,,0
rec-743-dup-0,'Alishs',Ainakea,84,Ala PuelPl,'Royql Kunia',85063,or,19990818,22,310 5800130,,5
rec-1522-dup-0,Hannn,Uehars,71,Anapalau Pl,Waipoi Acres,89124,nv,19270906,23,808 4565785,,8
rec-1682-dup-0,Ohara,Alidha,6,Ala Makani Way,Volcano,89130,hi,20190730,20,310 4545708,,3
rec-2641-dup-0,'Alishs',Lzs,7,,,85260,hk,20020706,43,310 8373629,,5
rec-1942-dup-0,Alishya,Uehara,83,Russell Ave,'Kaumkqni',90274,hi,19250119,26,310 5276907,,6
rec-549-dup-0,Josdtt,Raymond,273,Palamea Ln,Hanamarulu,96897,,19480107,32,253 8713884,,3
rec-1149-dup-0,Alisa,Hilj,42,KanajSt,Volcano,85043,nf,20120910,10,423 2309765,,9
rec-1086-dup-0,Alisha,Shimaito,137,Welcome Point Pl,Waialua,85041,wa,19300918,27,206 9029726,,7
rec-131-dup-0,Marvin,'Rsymound',17,AttoaxRd,'Kahalii',92782,az,20000914,22,423 2299859,,7
rec-810-dup-0,Harriet,Chocb,8,Anapalau Pl,Volcandyo,96709,az,20030620,12,602 7929180,1847156,8
rec-1609-dup-0,Alisha,Perrs,45,Awapjhi St,'Wahaoa',96747,or,20040414,22,206 6730732,5323003,5
rec-1909-dup-0,Alisha,Oishyi,1,Maulua Nui Rd,'Voocano',85085,aa,20100904,27,310 6924346,8086259,9
rec-110-dup-0,Ku`u Hoaloha `Oi,Alisbha,6,N Judd St,Kalaewoa,85054,,19811213,26,,,5
rec-2398-dup-0,Errop,,6,Waokanaka St,Kebanu,85043,,19720324,33,213 7109931,,4
rec-236-dup-0,Tiain,'Benaon',3,Kapuni St,Paauolo,96748,hi,20110622,02,206 2821884,,9
rec-2759-dup-0,Alih,Matsunaga,130,S Nimitz Hwy,Keaa,90290,nb,20200206,,480 4264132,3587343,1
rec-214-dup-0,Alisha,Chock,8,Lokeoa,Volcaoo,85216,ho,19790708,9,253 7334848,,6
rec-2197-dup-0,Alishw,Yasuda,15,N Kuku St,Wailua Homesteads,85250,nv,19871208,82,602 1217442,,1
rec-2534-dup-0,Alisha,Wilcox,200,IhiloaPl,Kahaluu,85401,aa,,30,213 1078190,,9
rec-2745-dup-0,Alisha,Pikake,17,Alohraeve,Kalaloa,85274,az,20000827,35,808 5519393,,6
rec-1248-dup-0,Aliiha,'Uehafa',9,Plumeria Loop,Volcano,96796,hu,19210925,,808 1494969,,5
rec-1708-dup-0,Kaikoa,Hiapo,197,KapaaieanLn,Volcano,85043,nf,20130623,31,602 0232275,4764485,3
